sp	se.low	se.median	se.high
0	1	1	1
0.05	0.985444234404537	0.991094452773613	0.996148876568427
0.1	0.970888468809074	0.982188905547226	0.992297753136854
0.15	0.956332703213611	0.97328335832084	0.988446629705282
0.2	0.941776937618147	0.964377811094453	0.984595506273709
0.25	0.927221172022684	0.955472263868066	0.980744382842136
0.3	0.912665406427221	0.946566716641679	0.976893259410563
0.35	0.898109640831758	0.937661169415292	0.97304213597899
0.4	0.883553875236295	0.928755622188906	0.969191012547418
0.45	0.868998109640832	0.919850074962519	0.965339889115845
0.5	0.854442344045369	0.910944527736132	0.961488765684272
0.55	0.839886578449905	0.902038980509745	0.957637642252699
0.6	0.825330812854442	0.893133433283358	0.953786518821126
0.65	0.810775047258979	0.884227886056971	0.949935395389553
0.7	0.797101449275362	0.875749317122261	0.946084271957981
0.75	0.787614416475973	0.869565217391304	0.942233148526408
0.8	0.782608695652174	0.869565217391304	0.942028985507246
0.85	0.782608695652174	0.869565217391304	0.942028985507246
0.9	0.782608695652174	0.869565217391304	0.942028985507246
0.95	0.782608695652174	0.869565217391304	0.942028985507246
1	0.782608695652174	0.869565217391304	0.942028985507246
